171,Kyle Korver,SG,34,ATL,0.435,0.398,0.502,0.833,0.2,3.1,2.1,0.8,0.4,1.2,9.2
172,Rudy Gobert,C,23,UTA,0.559,,0.559,0.569,3.4,7.5,1.5,0.7,2.2,1.9,9.1
173,Mason Plumlee,C,25,POR,0.516,0,0.52,0.642,2.5,5.2,2.8,0.8,1,1.9,9.1
174,Marcus Smart,PG,21,BOS,0.348,0.253,0.427,0.777,1.2,2.9,3,1.5,0.3,1.3,9.1
175,Alex Len,C,22,PHO,0.423,0.143,0.426,0.728,2.3,5.3,1.2,0.5,0.8,1.9,9
176,Archie Goodwin,PG,21,PHO,0.417,0.232,0.474,0.674,0.5,2,2.1,0.5,0.2,1.8,8.9
177,Gerald Green,SG,30,MIA,0.392,0.323,0.446,0.783,0.4,2,0.8,0.6,0.3,0.7,8.9
178,Austin Rivers,SG,23,LAC,0.438,0.335,0.495,0.681,0.3,1.6,1.5,0.7,0.1,0.9,8.9
179,Rodney Stuckey,PG,29,IND,0.413,0.241,0.453,0.829,0.3,2.4,2.4,0.7,0.1,1.3,8.9
180,Jordan Hill,C,28,IND,0.506,0,0.507,0.712,2.1,4,1.2,0.5,0.5,1.3,8.8
181,Jeremy Lamb,SG,23,CHO,0.451,0.309,0.529,0.727,0.7,3.2,1.2,0.6,0.5,0.8,8.8
182,Toney Douglas,PG,29,NOP,0.411,0.399,0.421,0.848,0.4,1.9,2.6,1.1,0.1,1,8.7
183,Gerald Henderson,SG,28,POR,0.439,0.353,0.468,0.767,0.4,2.5,1,0.5,0.3,0.9,8.7
184,Tyler Johnson,SG,23,MIA,0.486,0.38,0.529,0.797,0.8,2.3,2.2,0.7,0.4,1.3,8.7
185,Terrence Jones,PF,24,HOU,0.452,0.316,0.49,0.664,1.2,3,0.8,0.5,0.8,1,8.7
186,Luis Scola,PF,35,TOR,0.45,0.404,0.467,0.726,1.1,3.6,0.9,0.6,0.4,0.9,8.7
187,Cody Zeller,C,23,CHO,0.529,0.1,0.539,0.754,1.9,4.3,1,0.8,0.9,0.9,8.7
188,Tim Duncan,C,39,SAS,0.488,0,0.49,0.702,1.9,5.4,2.7,0.8,1.3,1.5,8.6
189,Taj Gibson,PF,30,CHI,0.526,0,0.529,0.692,2.8,4.1,1.5,0.6,1.1,1.1,8.6
190,Shelvin Mack,PG,25,TOT,0.439,0.312,0.493,0.738,0.3,2.2,3.6,0.7,0.1,1.8,8.6
191,Zaza Pachulia,C,31,DAL,0.466,0,0.469,0.768,3.3,6.2,1.7,0.8,0.3,1.6,8.6
192,Cory Joseph,SG,24,TOR,0.439,0.273,0.478,0.764,0.5,2.1,3.1,0.8,0.3,1.3,8.5
193,Jon Leuer,PF,26,PHO,0.481,0.382,0.511,0.762,1.1,4.4,1.1,0.6,0.4,1.1,8.5
194,Patrick Mills,PG,27,SAS,0.425,0.384,0.469,0.81,0.3,1.6,2.8,0.7,0.1,0.9,8.5
195,Nik Stauskas,SG,22,PHI,0.385,0.326,0.473,0.771,0.3,2.2,1.9,0.6,0.3,1.3,8.5
196,Tony Allen,SG,34,MEM,0.458,0.357,0.468,0.652,1.6,3,1.1,1.7,0.3,1.2,8.4
197,Meyers Leonard,PF,23,POR,0.448,0.377,0.527,0.761,0.8,4.3,1.5,0.1,0.3,1.3,8.4
198,Tony Wroten,PG,22,PHI,0.338,0.176,0.396,0.541,0.3,2.4,2.5,0.4,0,3.6,8.4
